EpisodeId,Character,Actor
1,Ted Mosby,Josh Radnor
1,Marshall Eriksen,Jason Segel
1,Robin Scherbatsky,Cobie Smulders
1,Barney Stinson,Neil Patrick Harris
1,Lily Aldrin,Alyson Hannigan
1,Daughter,Lyndsy Fonseca
1,Son,David Henrie
1,Yasmin,Saba Homayoon
1,Ranjit,Marshall Manesh
1,Carl,Joe Nieves
1,Cab Driver,Jack Shearer
1,Producer,Monique Edwards
1,Dumped Friend,Sarah Loew
1,Waiter #1,Gary Riotto
1,Waiter #2,Tony Rossi
1,Narrator (voice) (uncredited),Bob Saget
1,Boyfriend (uncredited),Randy Spire
1,Man At Table (uncredited),Geoff Stevenson
2,Ted Mosby,Josh Radnor
2,Marshall Eriksen,Jason Segel
2,Robin Scherbatsky,Cobie Smulders
2,Barney Stinson,Neil Patrick Harris
2,Lily Aldrin,Alyson Hannigan
2,Daughter,Lyndsy Fonseca
2,Son,David Henrie
2,Works with Carlos Girl,Beth Riesgraf
2,Carlos,Jon Bernthal
2,Fantasy Girl,Lindsay Schoneweis
2,Leroy,Jae Head
2,Narrator (voice) (uncredited),Bob Saget
3,Ted Mosby,Josh Radnor
3,Marshall Eriksen,Jason Segel
3,Robin Scherbatsky,Cobie Smulders
3,Barney Stinson,Neil Patrick Harris
3,Lily Aldrin,Alyson Hannigan
3,Daughter,Lyndsy Fonseca
3,Son,David Henrie
3,Officer McNeil,Earl Billings
3,Derrick,Robb Derringer
3,Carl,Joe Nieves
3,Laura,Tiffany Brouwer
3,Dana,Pedro Miguel Arce
3,Tatiana,Alyshia Ochse
3,Sascha,Carla Toutz
3,Stewardess,Gita Isak
3,Cute Girl,Anna Zielinski
3,Bomb Squad Guy,Mark Edward Smith
3,Sean - Guy #1,Sean Lucore
3,Guy #2,Chuck Carter
3,Guy #3,Dustin Lancaster
3,Leonard - Cab Driver #2 (as Floyd Vanbuskirk),Floyd Van Buskirk
3,Narrator (voice) (uncredited),Bob Saget
4,Ted Mosby,Josh Radnor
4,Marshall Eriksen,Jason Segel
4,Robin Scherbatsky,Cobie Smulders
4,Barney Stinson,Neil Patrick Harris
4,Lily Aldrin,Alyson Hannigan
4,Natalie,Anne Dudek
4,Joel Adams,Michael Kagan
4,Daughter,Lyndsy Fonseca
4,Son,David Henrie
4,Jackie,Jackie Geary
4,Steph,Ange Billman
4,Henry,Buck Kartalian
4,Producer,Monique Edwards
4,One Guest,Katelin Chesna
4,Trucker Hat Guy #1,Choice Skinner
4,Trucker Hat Guy #2,John Henry Canavan
4,Wendy,Charlene Amoia
4,Narrator (voice) (uncredited),Bob Saget
5,Ted Mosby,Josh Radnor
5,Marshall Eriksen,Jason Segel
5,Robin Scherbatsky,Cobie Smulders
5,Barney Stinson,Neil Patrick Harris
5,Lily Aldrin,Alyson Hannigan
5,Phil,Samm Levine
5,Daughter,Lyndsy Fonseca
5,Son,David Henrie
5,Chris,Ryan Raddatz
5,Coat Check Girl,Jayma Mays
5,Bradley,Rob Evors
5,Chris,Joshua Zisholtz
5,Kelly,Vanessa Evigan
5,Claire,Michelle Noh
5,Austin,Kyle Bornheimer
5,New Bouncer,Stephen Keys
5,Bartender,Sebastian Siegel
5,Leslie,Kristin Denehy
5,Bouncer,William Romeo
5,Narrator (voice) (uncredited),Bob Saget
6,Ted Mosby,Josh Radnor
6,Marshall Eriksen,Jason Segel
6,Robin Scherbatsky,Cobie Smulders
6,Barney Stinson,Neil Patrick Harris
6,Lily Aldrin,Alyson Hannigan
6,Mike,Jeremy Gabriel
6,Daughter,Lyndsy Fonseca
6,Son,David Henrie
6,Carl,Joe Nieves
6,Angel,Chad Lindsey
6,Hula Girl,Krizia Bajos
6,Host (as Scott Allen Rinker),Scott Rinker
6,The Shagarats,Crispin Barrymore
6,The Shagarats,Randall Bills
6,The Shagarats,Eric Bradley
6,The Shagarats,Andy Brown
6,The Shagarats,Ryan Goessl
6,The Shagarats,Kevin St. Clair
6,Narrator (voice) (uncredited),Bob Saget
7,Ted Mosby,Josh Radnor
7,Marshall Eriksen,Jason Segel
7,Robin Scherbatsky,Cobie Smulders
7,Barney Stinson,Neil Patrick Harris
7,Lily Aldrin,Alyson Hannigan
7,Ellen Pierce,Camryn Manheim
7,Dr. Sarah O'Brien,Beth Lacke
7,Daughter,Lyndsy Fonseca
7,Son,David Henrie
7,Carl,Joe Nieves
7,Sudeep,Nick Jaine
7,Narrator (voice) (uncredited),Bob Saget
8,Ted Mosby,Josh Radnor
8,Marshall Eriksen,Jason Segel
8,Robin Scherbatsky,Cobie Smulders
8,Barney Stinson,Neil Patrick Harris
8,Lily Aldrin,Alyson Hannigan
8,Daughter,Lyndsy Fonseca
8,Son,David Henrie
8,Kevin,Martin Starr
8,Erin,Maya Parish
8,Jackie,Jacqueline Pinol
8,Katie,Keri Safran
8,Doctor,Keisuke Hoashi
8,Chinese Waitress,Miki Mia
8,Moving Man #1,Brian Petrucelli
8,Delivery Man,Nick Kaiser
