NumberOverall,NumberInSeason,Episode,Season,DateAired,Timestamp
1,1,/wiki/Pilot,1,"September 19, 2005",1127084400
2,2,/wiki/Purple_Giraffe,1,"September 26, 2005",1127689200
3,3,/wiki/Sweet_Taste_of_Liberty,1,"October 3, 2005",1128294000
4,4,/wiki/Return_of_the_Shirt,1,"October 10, 2005",1128898800
5,5,/wiki/Okay_Awesome,1,"October 17, 2005",1129503600
6,6,/wiki/Slutty_Pumpkin,1,"October 24, 2005",1130108400
7,7,/wiki/Matchmaker,1,"November 7, 2005",1131321600
8,8,/wiki/The_Duel,1,"November 14, 2005",1131926400
9,9,/wiki/Belly_Full_of_Turkey,1,"November 21, 2005",1132531200
10,10,/wiki/The_Pineapple_Incident,1,"November 28, 2005",1133136000
11,11,/wiki/The_Limo,1,"December 19, 2005",1134950400
12,12,/wiki/The_Wedding,1,"January 9, 2006",1136764800
13,13,"/wiki/Drumroll,_Please",1,"January 23, 2006",1137974400
14,14,"/wiki/Zip,_Zip,_Zip",1,"February 6, 2006",1139184000
15,15,/wiki/Game_Night,1,"February 27, 2006",1140998400
16,16,/wiki/Cupcake,1,"March 6, 2006",1141603200
17,17,/wiki/Life_Among_the_Gorillas,1,"March 20, 2006",1142812800
18,18,/wiki/Nothing_Good_Happens_After_2_A.M.,1,"April 10, 2006",1144623600
19,19,/wiki/Mary_the_Paralegal,1,"April 24, 2006",1145833200
20,20,/wiki/Best_Prom_Ever,1,"May 1, 2006",1146438000
21,21,/wiki/Milk,1,"May 8, 2006",1147042800
22,22,/wiki/Come_On,1,"May 15, 2006",1147647600
23,1,/wiki/Where_Were_We%3F,2,"September 18, 2006",1158534000
24,2,/wiki/The_Scorpion_and_the_Toad,2,"September 25, 2006",1159138800
25,3,/wiki/Brunch,2,"October 2, 2006",1159743600
26,4,/wiki/Ted_Mosby:_Architect,2,"October 9, 2006",1160348400
27,5,/wiki/World%27s_Greatest_Couple,2,"October 16, 2006",1160953200
28,6,/wiki/Aldrin_Justice,2,"October 23, 2006",1161558000
29,7,/wiki/Swarley,2,"November 6, 2006",1162771200
30,8,/wiki/Atlantic_City,2,"November 13, 2006",1163376000
31,9,/wiki/Slap_Bet,2,"November 20, 2006",1163980800
32,10,/wiki/Single_Stamina,2,"November 27, 2006",1164585600
33,11,/wiki/How_Lily_Stole_Christmas,2,"December 11, 2006",1165795200
34,12,/wiki/First_Time_In_New_York,2,"January 8, 2007",1168214400
35,13,/wiki/Columns,2,"January 22, 2007",1169424000
36,14,/wiki/Monday_Night_Football,2,"February 5, 2007",1170633600
37,15,/wiki/Lucky_Penny,2,"February 12, 2007",1171238400
38,16,/wiki/Stuff,2,"February 19, 2007",1171843200
39,17,"/wiki/Arrivederci,_Fiero",2,"February 26, 2007",1172448000
40,18,/wiki/Moving_Day,2,"March 19, 2007",1174262400
41,19,/wiki/Bachelor_Party,2,"April 9, 2007",1176073200
42,20,/wiki/Showdown,2,"April 30, 2007",1177887600
43,21,/wiki/Something_Borrowed,2,"May 7, 2007",1178492400
44,22,/wiki/Something_Blue,2,"May 14, 2007",1179097200
45,1,/wiki/Wait_For_It,3,"September 24, 2007",1190588400
46,2,/wiki/We%27re_Not_From_Here,3,"October 1, 2007",1191193200
47,3,/wiki/Third_Wheel,3,"October 8, 2007",1191798000
48,4,/wiki/Little_Boys,3,"October 15, 2007",1192402800
49,5,/wiki/How_I_Met_Everyone_Else,3,"October 22, 2007",1193007600
50,6,/wiki/I%27m_Not_That_Guy,3,"October 29, 2007",1193616000
51,7,/wiki/Dowisetrepla,3,"November 5, 2007",1194220800
52,8,/wiki/Spoiler_Alert,3,"November 12, 2007",1194825600
53,9,/wiki/Slapsgiving,3,"November 19, 2007",1195430400
54,10,/wiki/The_Yips,3,"November 26, 2007",1196035200
55,11,/wiki/The_Platinum_Rule,3,"December 10, 2007",1197244800
56,12,/wiki/No_Tomorrow,3,"March 17, 2008",1205712000
57,13,/wiki/Ten_Sessions,3,"March 24, 2008",1206316800
58,14,/wiki/The_Bracket,3,"March 31, 2008",1206918000
59,15,/wiki/The_Chain_of_Screaming,3,"April 14, 2008",1208127600
60,16,/wiki/Sandcastles_in_the_Sand,3,"April 21, 2008",1208732400
61,17,/wiki/The_Goat,3,"April 28, 2008",1209337200
62,18,/wiki/Rebound_Bro,3,"May 5, 2008",1209942000
63,19,/wiki/Everything_Must_Go,3,"May 12, 2008",1210546800
64,20,/wiki/Miracles,3,"May 19, 2008",1211151600
65,1,/wiki/Do_I_Know_You%3F,4,"September 22, 2008",1222038000
66,2,/wiki/The_Best_Burger_in_New_York,4,"September 29, 2008",1222642800
67,3,/wiki/I_Heart_NJ,4,"October 6, 2008",1223247600
68,4,/wiki/Intervention,4,"October 13, 2008",1223852400
69,5,/wiki/Shelter_Island,4,"October 20, 2008",1224457200
70,6,/wiki/Happily_Ever_After,4,"November 3, 2008",1225670400
71,7,/wiki/Not_a_Father%27s_Day,4,"November 10, 2008",1226275200
72,8,/wiki/Woooo!,4,"November 17, 2008",1226880000
73,9,/wiki/The_Naked_Man,4,"November 24, 2008",1227484800
74,10,/wiki/The_Fight,4,"December 8, 2008",1228694400
75,11,/wiki/Little_Minnesota,4,"December 15, 2008",1229299200
76,12,/wiki/Benefits,4,"January 12, 2009",1231718400
77,13,/wiki/Three_Days_of_Snow,4,"January 19, 2009",1232323200
78,14,/wiki/The_Possimpible,4,"February 2, 2009",1233532800
79,15,/wiki/The_Stinsons,4,"March 2, 2009",1235952000
80,16,"/wiki/Sorry,_Bro",4,"March 9, 2009",1236556800
81,17,/wiki/The_Front_Porch,4,"March 16, 2009",1237161600
82,18,/wiki/Old_King_Clancy,4,"March 23, 2009",1237766400
83,19,/wiki/Murtaugh,4,"March 30, 2009",1238367600
84,20,/wiki/Mosbius_Designs,4,"April 13, 2009",1239577200
85,21,/wiki/The_Three_Days_Rule,4,"April 27, 2009",1240786800
86,22,"/wiki/Right_Place,_Right_Time",4,"May 4, 2009",1241391600
87,23,/wiki/As_Fast_As_She_Can,4,"May 11, 2009",1241996400
88,24,/wiki/The_Leap,4,"May 18, 2009",1242601200
89,1,/wiki/Definitions,5,"September 21, 2009",1253487600
90,2,/wiki/Double_Date,5,"September 28, 2009",1254092400
91,3,/wiki/Robin_101,5,"October 5, 2009",1254697200
92,4,/wiki/The_Sexless_Innkeeper,5,"October 12, 2009",1255302000
93,5,/wiki/Duel_Citizenship,5,"October 19, 2009",1255906800
94,6,/wiki/Bagpipes,5,"November 2, 2009",1257120000
95,7,/wiki/The_Rough_Patch,5,"November 9, 2009",1257724800
96,8,/wiki/The_Playbook,5,"November 16, 2009",1258329600
97,9,/wiki/Slapsgiving_2:_Revenge_of_the_Slap,5,"November 23, 2009",1258934400
98,10,/wiki/The_Window,5,"December 7, 2009",1260144000
99,11,/wiki/Last_Cigarette_Ever,5,"December 14, 2009",1260748800
100,12,/wiki/Girls_Versus_Suits,5,"January 11, 2010",1263168000
101,13,/wiki/Jenkins,5,"January 18, 2010",1263772800
102,14,/wiki/Perfect_Week,5,"February 1, 2010",1264982400
103,15,/wiki/Rabbit_or_Duck,5,"February 8, 2010",1265587200
104,16,/wiki/Hooked,5,"March 1, 2010",1267401600
105,17,/wiki/Of_Course,5,"March 8, 2010",1268006400
106,18,/wiki/Say_Cheese,5,"March 22, 2010",1269216000
107,19,/wiki/Zoo_or_False,5,"April 12, 2010",1271026800
108,20,/wiki/Home_Wreckers,5,"April 19, 2010",1271631600
109,21,/wiki/Twin_Beds,5,"May 3, 2010",1272841200
110,22,/wiki/Robots_Vs_Wrestlers,5,"May 10, 2010",1273446000
111,23,/wiki/The_Wedding_Bride,5,"May 17, 2010",1274050800
112,24,/wiki/Doppelgangers,5,"May 24, 2010",1274655600
113,1,/wiki/Big_Days,6,"September 20, 2010",1284937200
114,2,/wiki/Cleaning_House,6,"September 27, 2010",1285542000
115,3,/wiki/Unfinished,6,"October 4, 2010",1286146800
116,4,/wiki/Subway_Wars,6,"October 11, 2010",1286751600
117,5,/wiki/Architect_of_Destruction,6,"October 18, 2010",1287356400
118,6,/wiki/Baby_Talk,6,"October 25, 2010",1287961200
119,7,/wiki/Canning_Randy,6,"November 1, 2010",1288569600
120,8,/wiki/Natural_History,6,"November 8, 2010",1289174400
121,9,/wiki/Glitter,6,"November 15, 2010",1289779200
122,10,/wiki/Blitzgiving,6,"November 22, 2010",1290384000
123,11,/wiki/The_Mermaid_Theory,6,"December 6, 2010",1291593600
124,12,/wiki/False_Positive,6,"December 13, 2010",1292198400
125,13,/wiki/Bad_News,6,"January 3, 2011",1294012800
126,14,/wiki/Last_Words,6,"January 17, 2011",1295222400
127,15,/wiki/Oh_Honey,6,"February 7, 2011",1297036800
128,16,/wiki/Desperation_Day,6,"February 14, 2011",1297641600
129,17,/wiki/Garbage_Island,6,"February 21, 2011",1298246400
130,18,/wiki/A_Change_of_Heart,6,"February 28, 2011",1298851200
131,19,/wiki/Legendaddy,6,"March 21, 2011",1300665600
132,20,/wiki/The_Exploding_Meatball_Sub,6,"April 11, 2011",1302476400
133,21,/wiki/Hopeless,6,"April 18, 2011",1303081200
134,22,/wiki/The_Perfect_Cocktail,6,"May 2, 2011",1304290800
135,23,/wiki/Landmarks,6,"May 9, 2011",1304895600
136,24,/wiki/Challenge_Accepted,6,"May 16, 2011",1305500400
137,1,/wiki/The_Best_Man,7,"September 19, 2011",1316386800
138,2,/wiki/The_Naked_Truth,7,"September 19, 2011",1316386800
139,3,/wiki/Ducky_Tie,7,"September 26, 2011",1316991600
140,4,/wiki/The_Stinson_Missile_Crisis,7,"October 3, 2011",1317596400
141,5,/wiki/Field_Trip,7,"October 10, 2011",1318201200
142,6,/wiki/Mystery_vs._History,7,"October 17, 2011",1318806000
143,7,/wiki/Noretta,7,"October 24, 2011",1319410800
144,8,/wiki/The_Slutty_Pumpkin_Returns,7,"October 31, 2011",1320019200
145,9,/wiki/Disaster_Averted,7,"November 7, 2011",1320624000
146,10,/wiki/Tick_Tick_Tick,7,"November 14, 2011",1321228800
147,11,/wiki/The_Rebound_Girl,7,"November 21, 2011",1321833600
148,12,/wiki/Symphony_of_Illumination,7,"December 5, 2011",1323043200
149,13,/wiki/Tailgate,7,"January 2, 2012",1325462400
150,14,/wiki/46_Minutes,7,"January 16, 2012",1326672000
151,15,/wiki/The_Burning_Beekeeper,7,"February 6, 2012",1328486400
152,16,/wiki/The_Drunk_Train,7,"February 13, 2012",1329091200
153,17,/wiki/No_Pressure,7,"February 20, 2012",1329696000
154,18,/wiki/Karma,7,"February 27, 2012",1330300800
155,19,/wiki/The_Broath,7,"March 19, 2012",1332115200
156,20,/wiki/Trilogy_Time,7,"April 9, 2012",1333926000
157,21,/wiki/Now_We%27re_Even,7,"April 16, 2012",1334530800
158,22,/wiki/Good_Crazy,7,"April 30, 2012",1335740400
159,23,/wiki/The_Magician%27s_Code_-_Part_One,7,"May 14, 2012",1336950000
160,24,/wiki/The_Magician%27s_Code_-_Part_Two,7,"May 14, 2012",1336950000
161,1,/wiki/Farhampton,8,"September 24, 2012",1348441200
162,2,/wiki/The_Pre-Nup,8,"October 1, 2012",1349046000
163,3,/wiki/Nannies,8,"October 8, 2012",1349650800
164,4,/wiki/Who_Wants_to_Be_a_Godparent%3F,8,"October 15, 2012",1350255600
165,5,/wiki/The_Autumn_of_Break-Ups,8,"November 05, 2012",1352073600
166,6,/wiki/Splitsville,8,"November 12, 2012",1352678400
167,7,/wiki/The_Stamp_Tramp,8,"November 19, 2012",1353283200
168,8,/wiki/Twelve_Horny_Women,8,"November 26, 2012",1353888000
169,9,/wiki/Lobster_Crawl,8,"December 3, 2012",1354492800
170,10,/wiki/The_Over-Correction,8,"December 10, 2012",1355097600
171,11,/wiki/The_Final_Page_-_Part_One,8,"December 17, 2012",1355702400
172,12,/wiki/The_Final_Page_-_Part_Two,8,"December 17, 2012",1355702400
173,13,/wiki/Band_or_DJ%3F,8,"January 14, 2013",1358121600
174,14,/wiki/Ring_Up,8,"January 21, 2013",1358726400
175,15,/wiki/P.S._I_Love_You,8,"February 4, 2013",1359936000
176,16,/wiki/Bad_Crazy,8,"February 11, 2013",1360540800
177,17,/wiki/The_Ashtray,8,"February 18, 2013",1361145600
178,18,/wiki/Weekend_at_Barney%27s,8,"February 25, 2013",1361750400
179,19,/wiki/The_Fortress,8,"March 18, 2013",1363564800
180,20,/wiki/The_Time_Travelers,8,"March 25, 2013",1364169600
181,21,/wiki/Romeward_Bound,8,"April 15, 2013",1365980400
182,22,/wiki/The_Bro_Mitzvah,8,"April 29, 2013",1367190000
183,23,/wiki/Something_Old,8,"May 6, 2013",1367794800
184,24,/wiki/Something_New,8,"May 13, 2013",1368399600
185,1,/wiki/The_Locket,9,"September 23, 2013",1379890800
186,2,/wiki/Coming_Back,9,"September 23, 2013",1379890800
187,3,/wiki/Last_Time_in_New_York,9,"September 30, 2013",1380495600
188,4,/wiki/The_Broken_Code,9,"October 7, 2013",1381100400
189,5,/wiki/The_Poker_Game,9,"October 14, 2013",1381705200
190,6,/wiki/Knight_Vision,9,"October 21, 2013",1382310000
191,7,/wiki/No_Questions_Asked,9,"October 28, 2013",1382918400
192,8,/wiki/The_Lighthouse,9,"November 4, 2013",1383523200
193,9,/wiki/Platonish,9,"November 11, 2013",1384128000
194,10,/wiki/Mom_and_Dad,9,"November 18, 2013",1384732800
195,11,/wiki/Bedtime_Stories,9,"November 25, 2013",1385337600
196,12,/wiki/The_Rehearsal_Dinner,9,"December 2, 2013",1385942400
197,13,/wiki/Bass_Player_Wanted,9,"December 16, 2013",1387152000
198,14,/wiki/Slapsgiving_3:_Slappointment_in_Slapmarra,9,"January 13, 2014",1389571200
199,15,/wiki/Unpause,9,"January 20, 2014",1390176000
200,16,/wiki/How_Your_Mother_Met_Me,9,"January 27, 2014",1390780800
201,17,/wiki/Sunrise,9,"February 03, 2014",1391385600
202,18,/wiki/Rally,9,"February 24, 2014",1393200000
203,19,/wiki/Vesuvius,9,"March 3, 2014",1393804800
204,20,/wiki/Daisy,9,"March 10, 2014",1394409600
205,21,/wiki/Gary_Blauman,9,"March 17, 2014",1395014400
206,22,/wiki/The_End_of_the_Aisle,9,"March 24, 2014",1395619200
207,23,/wiki/Last_Forever_-_Part_One,9,"March 31, 2014",1396220400
208,24,/wiki/Last_Forever_-_Part_Two,9,"March 31, 2014",1396220400
