NumberOverall,NumberInSeason,Episode,Season,DateAired,Timestamp,Title,Director,Viewers,Writers,Rating
1,1,/wiki/Pilot,1,"September 19, 2005",1127084400,Pilot,Pamela Fryman,10.94,"Carter Bays,Craig Thomas",68
2,2,/wiki/Purple_Giraffe,1,"September 26, 2005",1127689200,Purple Giraffe,Pamela Fryman,10.40,"Carter Bays,Craig Thomas",63
3,3,/wiki/Sweet_Taste_of_Liberty,1,"October 3, 2005",1128294000,Sweet Taste of Liberty,Pamela Fryman,10.44,"Phil Lord,Chris Miller",67
4,4,/wiki/Return_of_the_Shirt,1,"October 10, 2005",1128898800,Return of the Shirt,Pamela Fryman,9.84,Kourtney Kang,59
5,5,/wiki/Okay_Awesome,1,"October 17, 2005",1129503600,Okay Awesome,Pamela Fryman,10.14,Chris Harris,53
6,6,/wiki/Slutty_Pumpkin,1,"October 24, 2005",1130108400,Slutty Pumpkin,Pamela Fryman,10.89,Brenda Hsueh,62
7,7,/wiki/Matchmaker,1,"November 7, 2005",1131321600,Matchmaker,Pamela Fryman,10.55,"Sam Johnson,Chris Marcil",57
8,8,/wiki/The_Duel,1,"November 14, 2005",1131926400,The Duel,Pamela Fryman,10.35,Gloria Calderon Kellett,46
9,9,/wiki/Belly_Full_of_Turkey,1,"November 21, 2005",1132531200,Belly Full of Turkey,Pamela Fryman,10.29,"Phil Lord,Chris Miller",60
10,10,/wiki/The_Pineapple_Incident,1,"November 28, 2005",1133136000,The Pineapple Incident,Pamela Fryman,12.27,"Carter Bays,Craig Thomas",74
11,11,/wiki/The_Limo,1,"December 19, 2005",1134950400,The Limo,Pamela Fryman,10.36,"Sam Johnson,Chris Marcil",57
12,12,/wiki/The_Wedding,1,"January 9, 2006",1136764800,The Wedding,Pamela Fryman,11.49,Kourtney Kang,62
13,13,"/wiki/Drumroll,_Please",1,"January 23, 2006",1137974400,"Drumroll, Please",Pamela Fryman,10.82,Gloria Calderon Kellett,72
14,14,"/wiki/Zip,_Zip,_Zip",1,"February 6, 2006",1139184000,"Zip, Zip, Zip",Pamela Fryman,10.94,Brenda Hsueh,73
15,15,/wiki/Game_Night,1,"February 27, 2006",1140998400,Game Night,Pamela Fryman,9.82,Chris Harris,76
16,16,/wiki/Cupcake,1,"March 6, 2006",1141603200,Cupcake,Pamela Fryman,10.15,Maria Ferrari,56
17,17,/wiki/Life_Among_the_Gorillas,1,"March 20, 2006",1142812800,Life Among the Gorillas,Pamela Fryman,9.80,"Carter Bays,Craig Thomas",55
18,18,/wiki/Nothing_Good_Happens_After_2_A.M.,1,"April 10, 2006",1144623600,Nothing Good Happens After 2 A.M.,Pamela Fryman,7.65,"Carter Bays,Craig Thomas",66
19,19,/wiki/Mary_the_Paralegal,1,"April 24, 2006",1145833200,Mary the Paralegal,Pamela Fryman,7.60,Chris Harris,68
20,20,/wiki/Best_Prom_Ever,1,"May 1, 2006",1146438000,Best Prom Ever,Pamela Fryman,7.24,Ira Ungerleider,66
21,21,/wiki/Milk,1,"May 8, 2006",1147042800,Milk,Pamela Fryman,8.07,"Carter Bays,Craig Thomas",71
