EpisodeId,Word,Occurrences
165,secondly,1
165,focus,1
165,baby,1
165,spiders,1
165,go,4
165,realized,1
165,apartment,1
165,buddy,1
165,Exactly,1
165,young,1
165,Award,1
165,tail,1
165,swoop,1
165,Not,1
165,sorry,5
165,insights,1
165,Nor,1
165,case,2
165,pestering,1
165,woman,4
165,jerk,1
165,far,1
165,intel,1
165,rogue,1
165,worst,1
165,fall,1
165,affect,1
165,trouble,1
165,Where,1
165,school,1
165,cable,1
165,Gayle,1
165,marry,2
165,bright,1
165,try,1
165,settle,1
165,Go,1
165,guy,4
165,Take,1
165,someday,1
165,work,2
165,says,4
165,tea,1
165,direct,1
165,Denver,2
165,Should,1
165,second,2
165,street,1
165,pass,1
165,even,2
165,established,1
165,Podarutti,1
165,clock,4
165,giving,1
165,fact,1
165,cooking,3
165,fingers,2
165,access,1
165,Boys,4
165,goes,1
165,new,1
165,upstate,1
165,Totally,2
165,jumps,1
165,led,1
165,Mm,4
165,never,7
165,pause,1
165,let,6
165,quenches,1
165,Mr,2
165,My,1
165,wait,2
165,boy,1
165,great,7
165,brilliant,1
165,completely,1
165,Your,1
165,bon,1
165,pick,1
165,proof,1
165,named,1
165,love,7
165,family,1
165,imagine,1
165,When,1
165,excuse,1
165,bro,4
165,Nick,6
165,resets,2
165,gosh,1
165,hoping,1
165,everybody,1
165,use,1
165,would,5
165,breakup,1
165,give,1
165,barks,5
165,two,1
165,Something,1
165,live,1
165,wondering,1
165,lock,1
165,tell,5
165,today,2
165,touched,1
165,posting,1
165,altar,1
165,chubby,1
165,glass,1
165,So,7
165,adult,1
165,broke,2
165,Chow,2
165,known,1
165,hints,1
165,town,2
165,honey,2
165,balls,1
165,catchphrase,2
165,middle,1
165,mm,2
165,car,1
165,getting,2
165,Mosby,5
165,joie,1
165,offended,1
165,pickle,1
165,fetch,1
165,history,3
165,beautiful,1
165,crazy,2
165,hears,1
165,pauses,2
165,Media,1
165,awesome,1
165,share,1
165,electronic,1
165,accept,2
165,terrible,2
165,high,2
165,something,6
165,want,5
165,bones,1
165,honest,1
165,dress,2
165,needs,1
165,end,1
165,goal,1
165,awkward,1
165,lousy,1
165,Cause,1
165,get,8
165,nuts,1
165,write,1
165,till,1
165,amazing,1
165,Promise,4
165,Why,3
165,Robin,18
165,isn,1
165,snaps,2
165,okay,3
165,farm,3
165,advice,2
165,earlier,1
165,Will,1
165,birthday,1
165,mad,1
165,coming,2
165,guys,7
165,grow,2
165,Wha,1
165,All,2
165,maybe,1
165,scoffs,1
165,meat,1
165,bakery,1
165,orally,1
165,Quinn,1
165,belle,1
